Title,Company,Experience,Salary,Location,Rating,Reviews,Posted,Link
Data Analyst,eTeam Inc.,1-3 Yrs,Not Disclosed,Pune,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-eteam-inc-pune-1-to-3-years-120822500215
Data Analyst,Nath Outsourcing Solutions,1-3 Yrs,Not Disclosed,Mohali,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-nath-outsourcing-solutions-mohali-1-to-3-years-111219502175
Data Analyst,Right Step Consulting,2-5 Yrs,Not Disclosed,Gurugram,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-right-step-consulting-gurugram-2-to-5-years-110417501439
Data Analyst,RIGHT STEP CONSULTING PRIVATE LIMITED,3-6 Yrs,Not Disclosed,"Delhi, Gurgaon",N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-right-step-consulting-private-limited-delhi-gurgaon-3-to-6-years-110417501247
Data Analyst,Xpheno,4-8 Yrs,Not Disclosed,Mumbai,N/A,N/A,3+ weeks ago,https://www.naukri.com/job-listings-data-analyst-xpheno-mumbai-4-to-8-years-100123500117
Data Governance Analyst,Alstom,4-7 Yrs,Not Disclosed,Bengaluru,3.7,3353  Reviews,3 weeks ago,https://www.naukri.com/job-listings-data-governance-analyst-alstom-transport-india-ltd-bengaluru-4-to-7-years-250526934567
Data Catalog Analyst,Alstom,3-6 Yrs,Not Disclosed,Bengaluru,3.7,3353  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-catalog-analyst-alstom-transport-india-ltd-bengaluru-3-to-6-years-180526925324
Supplier Data Maintenance Analyst,Gratitude India,1-4 Yrs,6-7 Lacs PA ,"Hyderabad, Pune, Bengaluru",N/A,N/A,2 weeks ago,https://www.naukri.com/job-listings-supplier-data-maintenance-analyst-gratitude-india-hyderabad-pune-bengaluru-1-to-4-years-010626013543
Data Governance Analyst,Careernet,4-7 Yrs,Not Disclosed,Bengaluru,N/A,N/A,3 weeks ago,https://www.naukri.com/job-listings-data-governance-analyst-careernet-bengaluru-4-to-7-years-220526027406
"GRC Analyst - Data Governance ,Compliance",GSPANN,3-5 Yrs,Not Disclosed,Hyderabad,4.0,562  Reviews,2 weeks ago,https://www.naukri.com/job-listings-grc-analyst-data-governance-compliance-gspann-hyderabad-3-to-5-years-010626005730
Data Scientist and Vertex AI_Senior Analyst,Clarice Technologie,3-7 Yrs,Not Disclosed,Aurangabad,3.4,1303  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-and-vertex-ai-senior-analyst-clarice-technologie-aurangabad-3-to-7-years-301225500450
Data Scientist and Vertex AI_Senior Analyst,Clarice Technologie,3-7 Yrs,Not Disclosed,Pune,3.4,1303  Reviews,3+ weeks ago,https://www.naukri.com/job-listings-data-scientist-and-vertex-ai-senior-analyst-clarice-technologie-pune-3-to-7-years-301225500449
